task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
19	4a/1c2467	1870978	samStatsFromBam (1049451)	COMPLETED	0	2021-01-06 11:02:29.170	2m 41s	2m 6s	101.5%	9.7 MB	169.9 MB	1.2 GB	4.4 KB
56	26/888a7f	1870979	samFlagstatFromBam (1163315)	COMPLETED	0	2021-01-06 11:02:29.222	2m 41s	2m 20s	67.6%	9.7 MB	169.9 MB	1.6 GB	4.4 KB
41	b4/9c1b5a	1870980	samStatsFromBam (1086888)	COMPLETED	0	2021-01-06 11:02:29.263	2m 41s	2m 5s	93.8%	9.7 MB	169.9 MB	943.2 MB	4.4 KB
14	e8/151576	1870982	samStatsFromBam (1044945)	COMPLETED	0	2021-01-06 11:02:29.356	2m 41s	1m 55s	76.1%	9.2 MB	169.4 MB	591.4 MB	4.4 KB
49	71/43d2a0	1870985	samFlagstatFromBam (1122121)	COMPLETED	0	2021-01-06 11:02:29.501	2m 41s	2m 29s	49.6%	9.4 MB	169.6 MB	1 GB	4.4 KB
50	cb/0f5905	1870986	samStatsFromBam (1122121)	COMPLETED	0	2021-01-06 11:02:29.548	2m 41s	2m 29s	99.8%	9.4 MB	169.6 MB	1 GB	4.4 KB
54	72/85e863	1870989	samStatsFromBam (116181)	COMPLETED	0	2021-01-06 11:02:29.683	2m 41s	1m 55s	69.9%	9.2 MB	169.4 MB	654.6 MB	4.4 KB
67	40/fbf155	1870998	samStatsFromBam (1224189)	COMPLETED	0	2021-01-06 11:02:32.759	2m 38s	1m 47s	101.2%	9.6 MB	169.9 MB	1.2 GB	4.4 KB
101	44/f98384	1871000	samStatsFromBam (1337787)	COMPLETED	0	2021-01-06 11:02:32.853	2m 38s	2m 1s	98.9%	9.7 MB	169.9 MB	1.4 GB	4.4 KB
69	79/124d4c	1871001	coverageMetricsFromBam (1122121)	COMPLETED	0	2021-01-06 11:02:32.900	2m 38s	1m 44s	541.6%	46.8 MB	770.8 MB	7.5 GB	21.2 KB
42	a9/095765	1871002	coverageMetricsFromBam (1097106)	COMPLETED	0	2021-01-06 11:02:32.941	2m 38s	1m 44s	504.4%	60.4 MB	769.9 MB	7.5 GB	21.2 KB
107	2a/c59abd	1871005	samStatsFromBam (1349389)	COMPLETED	0	2021-01-06 11:02:33.060	2m 38s	1m 53s	100.2%	9.7 MB	169.9 MB	1.4 GB	4.4 KB
125	36/8d7fd7	1871023	coverageMetricsFromBam (124216)	COMPLETED	0	2021-01-06 11:02:35.138	2m 36s	2m 12s	502.2%	35 MB	773.9 MB	7.1 GB	21.2 KB
